completion,preds
"None, Against","None, "
"None, None","None, "
"None, None",", "
"None, None","None, "
"None, None","None, "
"None, None","None, "
"None, Against","None, "
"None, Against","None, "
"None, None","Against, "
"None, Against","Against, "
"Favor, Against","Against, Against"
"None, None","None, "
"None, Against","None, "
"None, None","None, "
"None, None","None, "
"Against, Favor","None, "
"None, None","Against, "
"None, Against","None, "
"None, None","None, "
"Favor, Against","None, "
"None, Against","Against, "
"None, Against","Against, "
"Against, None","None, "
"Against, Against","None, "
"Favor, None",", "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"Favor, Against","None, "
"Favor, Against","None, "
"None, None","None, "
"Against, None","Against, Against"
"None, None","None, "
"Against, None","None, "
"None, Favor","None, "
"None, Favor","None, "
"None, Against","Against, "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"None, None","None, "
"Against, Favor","None, "
"None, Against","None, "
"None, None",", "
"Against, Favor","None, None"
"None, None","Against, "
"None, Against","None, "
"Against, None","Against, "
"None, None","Against, "
"None, Against","Against, "
"None, Against","None, "
"Against, None","None, "
"None, Favor","None, "
"None, Against","None, "
"None, None","None, "
"None, Against","None, "
"None, None","None, "
"None, Favor","None, "
"None, Against",", "
"None, Favor","None, "
"None, None","None, "
"None, Against","None, "
"Against, None","None, "
"None, None",", "
"None, Favor","None, "
"None, Favor",", "
"None, None",", "
"None, Against","None, "
"None, Against","None, "
"None, Favor","None, "
"Against, Favor","None, "
"None, Favor","None, "
"None, Against","None, "
"None, Against","Against, Against"
"Against, Favor","None, "
"None, Against","None, "
"None, Against","None, "
"None, Against","Against, "
"None, None","None, "
"None, None","None, "
"None, None","None, "
"None, Against",", "
"None, Against","None, "
"None, Against","None, "
"None, Favor","Against, "
"None, None","None, "
"Against, None","None, "
"None, None","Against, Against"
"None, Against","None, "
"None, Favor","None, "
"None, Favor","Against, "
"None, Against","None, "
"None, None","Against, "
"None, Favor",", "
"None, Against","None, "
"None, None",", "
"None, Against","None, "
"Against, Favor","None, None"
"None, Against","None, "
"Favor, Against","None, "
"None, Against","None, "
"None, None","Against, "
"None, Against","None, "
"None, Against","None, "
"Against, None","None, "
"None, Against","None, "
"None, None","Against, "
"Favor, None","None, "
"None, Against","None, "
"None, Against","None, "
"None, Favor","None, "
"None, Against","Favor, Favor"
"None, Against","None, "
"None, None","Against, "
"None, Against","Against, Against"
"None, Against","None, "
"None, None","None, None"
"None, Favor","None, "
"None, Against","None, "
"None, Favor","None, "
"None, Against","None, "
"None, None",", "
"None, None","None, "
"None, Against","None, "
"Favor, Against","Against, "
"None, None","None, "
"None, Favor","None, "
"Against, None",", "
"None, Favor","None, "
"None, Against","None, "
"None, Against",", "
"None, Favor","None, "
"Against, Favor","None, "
"None, None","None, "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"None, None","Against, "
"None, Against","None, "
"Favor, Against",", "
"None, Against","None, "
"None, Favor","None, "
"None, None","None, "
"None, Favor","None, "
"None, None","None, None"
"None, Against","None, "
"Against, Against","None, "
"Favor, None","None, "
"None, Against","Against, Against"
"None, None","None, "
"None, Against",", "
"Favor, None","None, "
"None, None",", "
"None, Favor",", "
"None, Favor","None, "
"None, Against","None, "
"None, Against","None, "
"None, Against",", "
"None, None",", "
"None, Against","None, "
"None, Against","None, "
"None, Favor",", "
"Against, Favor","Against, Against"
"Against, None","None, None"
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"None, Against","Against, "
"None, Favor","Against, "
"None, Against","None, "
"None, Favor","Against, "
"None, None","None, "
"None, Favor","None, "
"None, None","Against, "
"None, None","None, "
"Against, Favor","None, "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"None, Against","Against, Against"
"None, Against","None, "
"None, Favor","None, "
"None, None","None, "
"None, Against","Against, Against"
"None, Against","None, "
"None, Against","None, "
"None, Against","Against, "
"None, Against","None, "
"None, Against","None, "
"Favor, Against","None, "
"None, None","Against, "
"None, Against","None, "
"None, Against","None, "
"None, None",", "
"None, None","None, "
"None, Against","None, "
"Favor, Against","Against, "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"None, None","None, "
"None, Favor","None, "
"Favor, None","None, "
"None, None","None, "
"None, None","Against, "
"None, None","Against, "
"None, None","None, "
"Favor, None","None, "
"Favor, None","None, "
"None, None","None, "
"Favor, None","Against, "
"None, Against","None, "
"Favor, None","Against, "
"Favor, None","None, "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"Favor, None","None, "
"Against, None","None, "
"None, None","Against, "
"Favor, None","None, "
"None, None",", "
"None, None","None, "
"None, Against","None, "
"None, None",", "
"Favor, None","None, "
"None, None","None, "
"Favor, None",", "
"Favor, None","Against, Against"
"None, None",", "
"Against, None","None, "
"Against, None","None, "
"Favor, None","None, "
"Favor, None","None, "
"Favor, None",", "
"Favor, None","None, "
"None, Against",", "
"None, None","None, "
"None, None","None, "
"Favor, None","Against, "
"Against, None","Against, Against"
"Against, None","None, "
"None, Against","None, "
"None, Against","None, "
"None, None","None, "
"Favor, None","None, "
"Favor, None","None, "
"Favor, None","None, None"
"None, None","Against, Against"
"Favor, None","None, "
"None, None",", "
"Against, Favor","None, "
"Favor, None","None, "
"Favor, Against","None, "
"Favor, None","None, "
"Against, None","None, "
"Favor, None","Against, Against"
"Against, None","None, "
"None, Against","None, "
"Against, None","Against, "
"None, None",", "
"Favor, None","None, "
"Favor, None","Against, "
"None, None","None, "
"Favor, None","None, "
"Favor, None","None, "
"None, Against","None, "
"None, Against","None, "
"None, None","Against, "
"None, None","Against, "
"None, Against","None, "
"None, Against","Against, Against"
"Against, None","None, "
"Favor, None",", "
"None, None","Against, "
"Favor, None","None, "
"None, None","Against, "
"Favor, None","Against, Against"
"Favor, None",", "
"None, None","None, "
"Favor, None","None, "
"Favor, None","None, "
"None, None","None, None"
"Favor, None",", "
"None, None","None, "
"Favor, None","Against, Against"
"None, Against","Against, Against"
"Favor, None","None, "
