completion,preds
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", Favor"
"Clinton, Against","Trump, "
"Clinton, Against",", Favor"
"Clinton, Against","Trump, "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Against","Trump, "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", Against"
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against","Trump, Against"
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Favor",", Favor"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, None","Trump, "
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", Favor"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", Favor"
"Clinton, None","Trump, Against"
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", Against"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, None",", Favor"
"Clinton, Against",", "
"Clinton, None","Trump, Favor"
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, Favor",", Favor"
"Clinton, Against",", Favor"
"Clinton, Against",", Favor"
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, Against"
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, None",", Favor"
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, None",", Favor"
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, Against",", Favor"
"Clinton, None","Trump, Favor"
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, Against",", Favor"
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, None",", "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Against",", Favor"
"Clinton, None","Trump, Against"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor",", Favor"
"Clinton, None",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, None",", Favor"
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Against","Trump, "
"Clinton, Favor",", "
"Clinton, None",", Favor"
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Against",", Against"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, Against",", Favor"
"Trump, None",", "
"Trump, Favor",", "
"Trump, Favor",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None",", Against"
"Trump, Against",", "
"Trump, None",", "
"Trump, None",", "
"Trump, Against",", Against"
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, None",", Favor"
"Trump, None",", "
"Trump, None",", Favor"
"Trump, None",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Favor",", "
"Trump, Against",", "
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, Against",", Favor"
"Trump, Favor",", "
"Trump, None",", "
"Trump, Favor",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, None",", "
"Trump, Favor",", "
"Trump, Against",", Favor"
"Trump, Favor",", "
"Trump, Favor",", "
"Trump, Against",", Against"
"Trump, None","Trump, "
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, Favor",", "
"Trump, Against",", Favor"
"Trump, None",", "
"Trump, None",", "
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, None",", Favor"
"Trump, Against",", "
"Trump, Against",", "
"Trump, Against",", Favor"
"Trump, None",", "
"Trump, Favor",", Favor"
"Trump, Favor",", "
"Trump, Favor",", Favor"
"Trump, Favor",", "
"Trump, None",", "
"Trump, Favor",", "
"Trump, Against","Trump, Against"
"Trump, Against",", Favor"
"Trump, Favor",", Favor"
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, Against",", "
"Trump, Against","Trump, Against"
"Trump, Against",", "
"Trump, Against",", "
"Trump, None",", "
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Favor",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None","Trump, Against"
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, Favor",", "
"Trump, None",", "
"Trump, Favor",", "
"Trump, Favor",", "
"Trump, None",", Favor"
"Trump, None",", "
"Trump, Against",", "
"Trump, Favor",", "
"Trump, Favor",", "
"Trump, None",", Favor"
"Trump, None",", "
"Trump, Against",", "
"Trump, None",", "
"Trump, Against",", Favor"
"Trump, Against",", Favor"
"Trump, Favor","Trump, "
"Trump, None","Trump, "
"Trump, None",", Favor"
"Trump, None",", Favor"
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, None",", "
"Trump, None",", "
"Trump, None",", Favor"
"Trump, None",", "
"Trump, None","Trump, Against"
"Trump, Favor",", "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, None",", Against"
"Trump, None",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None","Trump, Against"
"Trump, None",", "
"Trump, None",", Favor"
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, Against",", Favor"
"Trump, Against","Trump, Against"
"Trump, Against",", "
"Trump, None",", "
"Trump, Favor",", "
"Trump, None","Trump, Favor"
"Trump, Favor",", "
"Trump, Favor",", Against"
"Trump, None",", "
"Trump, None",", "
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Favor"
"Trump, Against",", "
