post_id,reply_set,0,1,2,3,4,5,preds
1,0,"Support, Neither",,,,,,"Support, Neither, , , , "
2,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
3,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
4,0,"Support, Neither",,,,,,"Support, Neither, , , , "
5,0,"Support, Neither",,,,,,"Support, Neither, , , , "
6,0,"Support, Neither",,,,,,"Support, Neither, , , , "
7,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
8,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
9,0,"Neither, Support",,,,,,"Neither, Support, , , , "
10,0,"Support, Neither",,,,,,"Support, Neither, , , , "
11,0,"Neither, Support",,,,,,"Neither, Support, , , , "
12,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
13,0,"Support, Neither",,,,,,"Support, Neither, , , , "
14,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
15,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
16,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
17,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
18,0,"Support, Neither",,,,,,"Support, Neither, , , , "
19,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
20,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
21,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
22,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
23,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
24,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
25,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
26,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
27,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
28,0,"Support, Neither",,,,,,"Support, Neither, , , , "
29,0,"Oppose, Oppose",,,,,,"Oppose, Oppose, , , , "
30,0,"Support, Neither",,,,,,"Support, Neither, , , , "
31,0,"Neither, Support",,,,,,"Neither, Support, , , , "
32,0,"Support, Neither",,,,,,"Support, Neither, , , , "
33,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
34,0,"Neither, Support",,,,,,"Neither, Support, , , , "
35,0,"Support, Neither",,,,,,"Support, Neither, , , , "
36,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
37,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
38,0,"Support, Neither",,,,,,"Support, Neither, , , , "
39,0,"Support, Neither",,,,,,"Support, Neither, , , , "
40,0,"Support, Neither",,,,,,"Support, Neither, , , , "
41,0,"Oppose, Oppose",,,,,,"Oppose, Oppose, , , , "
42,0,"Support, Neither",,,,,,"Support, Neither, , , , "
43,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
