prompt,completion,preds
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@Jeff_Nichols_82 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life in Utopia
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@jimlibertarian @peddoc63 @Callisto1947 @MaydnUSA @c5hardtop1999 @surfermom77 @SMolloyDVM That's right!
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Cruz-- Perry 2016 @tedcruz @GovernorPerry It's the only win-win choice
""""""
","Clinton, Against","Trump, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Thanks @Chefs4Hillary for amazing noms for canvassing #FITN
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@TODAYshow @ChrisChristie is not qualified b/c he eats $82,000 in snacks & b/c of D corruption of #Bridgegate  A BIG FAT BULLY!
""""""
","Clinton, Against","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""/#Leftest #Hippocratic #Domecrats won't vote for #FineLady #MichellBachmann but will vote for #EmailScandal #Benghazi #Killary
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Another #Hillary supporter committed to caucus tonight! One more step on the way to winning the Iowa caucus.
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Leader of free world. Global navigating. Interacting with the international community. Beyond big crowds. Learned lesson.
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Congratulations to our Women Soccer Team for just winning the World Cup against Japan 5-2, women rule ! #freeallfour
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryClinton lied about the cost of the gala, she was fined for it, but if it were @GOP they'd be in jail  Unfit for office 
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryClinton interview was ridiculous!! She's such a liar!
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary is on her way to #Baltimore to be their champion. #BaltimoreRiots
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""if Hillary wins the election there's a chance we might move to Australia. #HILLARY4PRES
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryClinton Where are the #LGBT pride condoms #BillClinton used when he assaulted #MonicaLewinsky? #HillaryClinton #tlot
""""""
","Clinton, Against","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@_Poli_Ana_ No, she's got the #BlackLivesMatter vote w/o even talking to them.  Most blacks are brainwashed by @TheDemocrats
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE
""""""
","Clinton, Against","Clinton, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""#Hillary is as transparent as a brick wall #LibertyNotHillary
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Was asked by @HillaryClinton to help with her campaign. Gladly (excitedly) accepted!
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Did you hear the answer Hillary gave to a reporter when they asked a question?!?   Neither have I. 
""""""
","Clinton, Against","Clinton, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Thank you @HillaryClinton for your support of the LGBT community. On this historic day I thank you for giving us hope.
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA...
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Headed to Chester, SC for a big hillary canvass! Join me. Wylie park 11-3
""""""
","Clinton, Favor","Clinton, Favor"
